연도,년월,기온,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2008,2008. 12,1.1,5,13.3,-2.7,-13.1,25.9,56,2.5,8.2,14.6
2009,2009. 01,-2,2.3,12.2,-5.5,-11.4,5.7,50,2.5,8.1,15.1
2009,2009. 02,2.9,6.8,16.1,-0.6,-8.6,36.9,57,2.5,11.9,20.1
2009,2009. 03,6,10.6,22.2,1.8,-3.3,63.9,52,3.1,8.8,18.1
2009,2009. 04,12.7,18,25.8,8.1,2.2,66.5,54,2.6,8.6,14.4
2009,2009. 05,19.1,24.3,31,14.6,9.8,109.0,59,2.5,8.2,12.8
2009,2009. 06,22.4,26.7,32.4,18.8,14.3,132.0,66,2.5,8.8,15.3
2009,2009. 07,24.3,28.2,32.4,21,18.7,659.4,76,2.3,10.4,16.8
2009,2009. 08,25.7,29.5,34.4,22.4,16.4,285.3,69,2.2,7.1,13.1
2009,2009. 09,21.8,26.3,29.9,17.7,14.4,64.5,64,1.8,6.5,10.4
2009,2009. 10,16,20.9,26.4,11.7,6.2,66.9,62,2.1,9.7,17.2
2009,2009. 11,6.9,10.4,21.8,3.7,-4.3,52.4,64,2.5,6.8,12.3
2009,2009. 12,-1,2.5,10.1,-4.2,-12.9,21.5,60,2.5,8.3,15.9
2010,2010. 01,-4.5,-0.7,8.4,-8.1,-15.3,29.3,65,2.3,6.9,11.5
2010,2010. 02,1.4,4.9,17.9,-1.7,-10.8,55.3,59,2.4,6.6,12.3
2010,2010. 03,4.3,8.1,14.2,0.5,-4,82.5,59,2.9,10.2,16.7
2010,2010. 04,9.5,14,20.7,5.6,1.1,62.8,54,2.9,10.9,17.2
2010,2010. 05,17.2,22,28.6,13,5.8,124.0,62,2.6,9.9,16.2
2010,2010. 06,23.4,28.2,32.7,19.3,12.1,127.6,62,2.1,6,9.9
2010,2010. 07,25.8,29.3,32.3,23.1,21,239.2,74,2.5,7.9,12.3
2010,2010. 08,26.5,30,33.8,23.8,19.9,598.7,78,2.4,10.7,16.2
2010,2010. 09,21.8,26,31.4,18.5,8.4,671.5,72,2.3,14,21.6
2010,2010. 10,14.5,19.3,24.2,10.4,0.7,25.6,61,2.2,8.1,14
