사고발생여부,인구수,생활인구수_주중,생활인구수_주말,전통시장여부,지하철출입구개수,버스정류장개수,과속방지턱개수,교차로개수,횡단보도개수,주거,상업,녹지
0,1741.142453,596.1267478,551.2595532,0,0,0,0,0,0,0.999955297,0,0
1,0,755.9312518,747.5597911,0,0,0,0,0,0,0.910569083,0,0
0,0,492.8441061,532.1606324,0,0,0,0,0,0,0.754152013,0.10357589,0.14210557
1,0,252.8588745,241.212472,0,0,2,0,0,2,0.662693792,0.312593143,0.02442899
1,0,662.006327,683.3024892,0,0,3,2,0,4,0.991754093,0.007064962,0
0,1829.796813,550.7076063,516.0951885,0,0,0,0,0,1,0.999967561,0,0
1,0,111.9399004,109.3029233,0,0,1,0,1,1,0.5370242,0,0.111467225
1,0,371.4870301,402.1468775,0,0,2,0,0,1,0.997628694,0,0
0,1505.868728,238.9311119,267.4246034,0,0,0,0,0,0,0.848738949,0,0
0,0,83.78432373,121.5800929,0,0,1,0,0,0,0.691822661,0,0.300133615
1,0,218.3312643,225.4725009,0,0,1,0,0,0,0.414469988,0,0.079645549
0,1988.653287,366.685614,353.9301611,0,0,0,0,0,0,0.998898428,0,0
1,0,281.5082769,293.7391363,0,0,0,0,0,0,0.77349935,0,0.226456647
0,1338.04547,435.7855534,420.847488,0,0,0,0,0,1,0.849800141,0.150207908,0
1,0,453.5536388,445.5962176,0,0,1,1,1,4,0.975535114,0.02429147,0
1,0,338.9759364,347.1549708,0,0,0,0,0,1,0.910313079,0,0
1,0,281.6845532,226.8623525,0,0,0,0,0,0,0.067456174,0.75141016,0.181132007
0,0,524.7100419,532.9196262,0,0,0,0,0,3,0.996091809,0,0
0,0,174.8612302,195.1786364,0,0,0,3,0,0,0.740004852,0,0.137359695
1,0,446.1877284,456.4878911,0,0,1,0,1,2,0.536813282,0,0.137591036
0,0,281.4653756,267.6793811,0,0,0,0,0,1,0.998809865,0,0
1,0,225.9101825,201.5662349,0,0,0,0,2,1,0.344658504,0,0.655316592
1,0,474.7201468,493.3017749,0,0,0,0,0,1,0.994344418,0,0
0,0,193.2504372,174.7030768,0,0,0,0,0,0,0.600267716,0,0.359765435
0,0,402.8885505,350.7671629,0,0,0,0,0,0,0.813222142,0.186796548,0
0,0,603.2191151,598.0314719,0,0,0,1,0,1,0.997322118,0.002668171,0
0,0,256.210901,266.0824468,0,0,0,0,0,0,0.509908253,0,0.279642995
1,0,321.0823621,251.5892688,0,0,1,0,0,0,0.834118805,0.16573952,0
0,2332.967364,385.0079319,372.3543803,0,0,0,0,0,0,0.999982997,0,0
0,811.1252725,258.4911937,261.1015077,0,0,0,0,0,0,0.999886979,0,0
1,0,308.2230927,316.5519032,0,0,0,0,0,0,0.999982902,0,0
0,0,309.4306719,337.6405606,0,0,0,0,1,2,0.411635947,0.588540162,0
1,1884.435118,470.7054706,462.3757508,0,0,0,2,0,1,0.822406714,0.177588001,0
0,0,538.4294678,578.3899806,0,0,0,1,0,0,0.79880595,0.106205453,0.093704902
1,0,330.0369968,298.8107125,0,0,0,1,0,1,0.897096291,0.102889085,0
1,2359.188966,452.5413367,449.0640056,0,0,1,0,1,2,0.999971154,0,0
0,1031.223042,334.3981169,291.9193927,0,0,0,0,0,0,0.991736427,0.0082349,0
0,722.6763123,282.6931002,286.8056057,0,0,0,0,0,0,0.99988938,0,0
1,1435.48971,620.4198824,526.8169435,0,0,0,0,0,0,0.948560347,0,0.051450095
0,1816.810319,643.2487552,642.4704581,0,0,0,0,0,0,0.895540877,0.104461081,0
0,0,287.4604606,235.9989814,0,1,0,0,0,2,0.750609319,0.234158965,0
1,0,124.8772539,126.5030436,0,0,1,0,1,1,0.416488585,0,0.016147634
0,0,142.3851338,154.6445077,0,0,1,0,0,1,0.951761781,0,0.047291105
1,0,327.3254179,256.9100096,0,0,1,0,0,0,0.823783104,0.175242237,0
1,1468.102425,625.3403474,533.4048367,0,0,3,0,1,3,0.946826937,0,0.053184724
0,2750.328031,514.6544753,531.8808572,0,0,0,0,0,0,0.952344365,0,0
0,2040.944871,467.5608487,442.025069,0,0,0,0,0,0,0.868984188,0.131014784,0
0,0,536.7589044,513.9028554,0,0,1,0,1,3,0.967047247,0.007060881,0
1,0,641.642772,645.2815955,0,0,2,2,0,0,0.999991949,0,0
1,0,466.6690617,476.1511376,0,0,0,0,0,0,0.540271992,0,0.115106814
1,0,480.7022246,487.6547968,0,0,0,0,0,2,0.994648598,0,0
1,0,232.954268,233.3977162,0,0,1,0,1,2,0.782962904,0.181436804,0.034900868
1,0,355.8612768,339.9931916,0,0,0,1,1,1,0.999016722,0.002939174,0
0,1829.039863,554.253849,579.6769624,0,0,0,0,0,1,0.991386826,0,0.007848823
1,0,49.10387268,40.44855451,0,0,2,0,0,1,0.362325123,0,0.060228477
0,0,478.1901649,517.4666479,0,0,0,0,0,0,0.72348275,0.106361111,0.169741991
0,0,268.1115943,254.2265342,0,0,1,0,0,0,0.998858539,0,0
0,2603.042667,928.5826751,934.1920774,0,0,0,0,0,0,1.000006919,0,0
0,0,195.3421564,203.9113613,0,0,0,1,0,0,0.905090136,0,0.094951962
0,0,535.1542428,575.8072169,0,0,0,2,0,0,0.770995306,0.115988805,0.10982535
1,2443.414341,319.8037192,346.6813023,0,0,1,0,1,3,0.926274786,0,0.073745567
1,0,320.9687725,339.5482969,1,0,2,0,0,0,0.998347172,0,0
1,0,578.8418906,616.6670797,0,2,1,0,0,2,0.656386389,0.277716487,0.059427034
0,0,168.7359462,147.1500491,0,0,0,0,0,0,0.932621145,0.065110062,0
0,0,304.1274028,294.6199631,0,0,0,0,1,0,0.999986363,0,0
1,1950.328265,423.5571581,450.3616299,1,0,0,0,0,0,0.999985211,0,0
1,0,175.0658749,144.3131129,0,0,0,0,2,1,0.444567006,0,0
1,0,609.5152652,605.6150123,0,0,0,0,0,0,1.00000154,0,0
0,0,302.7176945,237.189601,0,0,1,0,0,1,0.841868179,0.158140641,0
1,2159.166299,413.3905875,408.1831725,0,0,0,0,0,0,0.874390868,0.124999726,0
0,0,305.0649351,285.7390051,0,0,0,0,0,2,0.72530142,0,0.274720227
0,0,104.1544426,99.9328743,0,0,0,2,1,2,0.999996279,0,0
0,0,522.1332418,562.9803988,0,0,0,0,0,1,0.642259181,0.191056566,0.16006732
0,0,403.0270691,410.0606116,0,0,1,0,0,0,0.540263206,0,0.114592052
1,0,320.2673502,335.9809184,0,0,0,0,1,2,0.940490565,0,0
1,2866.016329,624.7792793,622.7713266,0,0,0,1,1,5,0.997217542,0.002779108,0
0,0,211.3172184,189.8964943,0,0,0,0,0,0,0.813499098,0.183834221,0
0,875.1195313,406.9201239,271.9800913,1,0,0,0,0,0,0.234438184,0.765460669,0
0,0,397.9204066,330.4059651,0,0,1,0,1,2,0.800986907,0.199028354,0
1,1106.944741,300.4039689,274.6909048,0,0,0,0,0,0,0.999991898,0,0
1,0,42.38542872,40.91979117,0,0,1,0,1,4,0.259775316,0.002636241,0.086740096
0,0,292.0135559,278.6190404,0,0,0,0,1,1,0.998779615,0,0
1,0,501.0963743,624.0888105,0,0,0,0,2,6,0.385943523,0.615421714,0
0,0,248.7082807,250.274042,0,0,0,0,0,0,0.541074401,0,0.148323713
0,1903.951413,617.1073093,620.5288297,0,0,0,1,0,0,0.908617098,0.091381791,0
1,1066.419737,320.6101799,292.5468938,0,0,0,0,0,0,0.999381091,0.000606531,0
0,0,230.8194922,252.0906643,0,0,0,0,0,1,0.865090576,0,0.034492542
0,0,406.9036058,368.2196822,0,0,0,0,0,1,0.836093136,0.163930088,0
0,262.7967474,659.3404918,361.2500778,1,0,1,1,0,3,0,1.000516223,0
1,2151.005627,759.3840295,772.0576533,0,0,0,0,0,2,1.000003401,0,0
1,1629.740672,492.9251373,509.6354034,0,0,0,0,0,1,0.861611333,0.138382232,0
0,0,606.3737582,647.986312,0,0,3,1,0,2,0.722406752,0.208402436,0.063954334
0,2621.60388,903.0930867,907.9467657,0,0,0,0,0,0,1.000004833,0,0
1,0,306.4942395,322.4380807,0,0,0,0,0,0,0.453399285,0,0.115185537
1,0,315.7135407,300.404758,0,0,0,0,0,0,0.68859864,0.280281771,0.03086614
1,1568.676853,552.7377483,554.7893601,0,0,0,0,0,0,0.468412646,0.236963411,0
0,1044.51223,224.257502,207.1388791,0,0,1,1,0,2,0.997954938,0,0
