SIG_CD,SID_KOR_NM,SIG_KOR_NM,SIG_ENG_NM
"48170",경남,진주시,Jinju-si
"48220",경남,통영시,Tongyeong-si
"48240",경남,사천시,Sacheon-si
"48250",경남,김해시,Gimhae-si
"48270",경남,밀양시,Miryang-si
"48310",경남,거제시,Geoje-si
"48330",경남,양산시,Yangsan-si
"48720",경남,의령군,Uiryeong-gun
"48730",경남,함안군,Haman-gun
"48740",경남,창녕군,Changnyeong-gun
"48820",경남,고성군,Goseong-gun
"48840",경남,남해군,Namhae-gun
"48850",경남,하동군,Hadong-gun
"48860",경남,산청군,Sancheong-gun
"48870",경남,함양군,Hamyang-gun
"48880",경남,거창군,Geochang-gun
"48890",경남,합천군,Hapcheon-gun
"50110",제주,제주시,Jeju-si
"50130",제주,서귀포시,Seogwipo-si
