지역1,지역2,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
경기,수정구,345565,345522,345804,346022,347000,348065,350283,352652,354913,355761,356761,358087,473871,474000,480903,490435,494016,497645,499532,500048,500548,508903,513177,513210,510210,672049,665037,655598,650720,650683,650073,653012,657049,661049,669683,681012,697098,868940,872690,876167,879821,884798,888488,899095,909167,917083,921774,925631,934119,947262,964202,976190,982988,988357,999452
경기,중원구,295081,294952,295016,295339,295726,296113,296694,297532,298468,298952,299887,301516,332457,333186,334871,336986,339243,340357,341257,342271,343886,347943,350286,350743,351900,401426,400824,399662,399250,399103,398985,399162,399559,400559,402750,404471,406279,418147,419985,423015,425574,426574,428824,434588,441515,447926,451191,455500,460368,464868,472500,480904,487007,493125,501853
경기,분당구,576738,576675,576833,577484,578437,579397,581127,586024,597587,604595,608365,611413,682664,695699,721637,735781,744377,748267,749651,750192,752342,768699,772342,772240,769349,854676,848622,842554,837473,833392,831818,834709,837068,841128,848804,857108,866831,921324,921196,920216,917872,916459,915953,926750,938453,946007,951331,964284,981250,1000182,1014649,1019088,1022264,1026304,1030865
경기,군포시,310425,310387,310349,310387,310594,310736,310991,311198,311821,312387,313094,313736,329579,329333,329289,329246,329105,328789,328702,328579,327789,329746,331439,332474,332333,348573,348218,345818,342564,339436,336573,334964,335073,337364,339500,340091,343545,347884,351670,372098,386643,391866,394009,396438,398045,398652,399116,399652,400911,404214,415161,424027,433857,447214,470143
경기,의왕시,352250,352603,352750,352676,353235,353412,353176,353750,354191,355029,355691,357221,382738,384788,385663,386538,387413,388163,389225,389975,390938,394063,397538,398538,398788,430141,429231,425513,421872,416795,414295,413577,413321,415449,417551,421167,432462,461138,466150,473900,481513,486500,490375,495438,499913,506688,511213,514225,519100,528213,557315,579038,598775,616700,637225
경기,안성시,161260,161235,161153,161071,160920,160786,160490,160379,160059,159397,159315,159071,145639,145573,144584,143304,142013,140135,138712,137578,137077,136845,136384,135280,134049,148100,147830,147610,146805,146150,145410,144750,143490,142885,142520,142340,142275,150091,149759,149792,149821,149726,149915,150906,151000,151226,151533,152071,153005,154939,156967,158863,162019,163491,168849
경기,용인시,358993,359004,358888,358835,358776,358598,358587,358566,358469,358542,358559,358378,363179,363103,364006,365943,369543,371361,373240,374710,376672,382987,389193,393076,394218,406562,405939,405151,401923,400214,399335,399124,400159,401033,401830,403960,408482,419406,431323,444189,449132,451502,457285,463198,469893,481089,485807,492038,498965,507637,519277,525950,531986,534853,543009
경기,처인구,189431,189431,189379,189379,189379,189241,189345,189414,189293,189314,189107,188900,180972,180736,180194,179764,179236,178833,178597,177986,177181,177153,176917,176333,175750,184213,183925,183713,182988,182838,182688,183288,183913,184338,184888,185288,185713,198051,198398,199510,200102,200653,202051,202847,204235,206133,207816,209561,212235,214102,217776,220051,223398,226357,233051
경기,기흥구,329561,329544,329456,329474,329526,329500,329482,329509,329561,329789,330088,330228,334787,334956,335257,335846,337787,339684,343515,346324,348941,356015,362684,366890,367662,371310,370500,370049,366620,365275,365268,364796,364937,365606,366401,367894,370514,390082,398466,410507,414630,416514,422842,429130,433849,446096,448459,455356,462630,471301,482925,491384,497185,501075,512253
경기,수지구,433093,433136,432975,432839,432653,432314,432280,432186,431949,431881,431678,431186,441559,441279,443184,447125,453522,455868,456360,457051,459110,466397,473897,478676,480662,507371,506843,505543,501793,499257,497271,497093,499164,500379,501250,504536,512200,533655,553627,571796,579239,582803,589676,597134,607894,621514,629831,637063,645239,656486,671155,677634,684930,686697,692261
