order_date,product,quantity,amount
2019-01-04,p1072601,2,9200
2019-01-04,p1246581,2,2272
2019-01-04,p1072601,1,4600
2019-01-04,p1012751,1,1350
2019-01-04,p1246581,1,1136
2019-01-04,p1097821,2,2000
2019-01-04,p1127201,2,7454
2019-01-04,p1246581,2,2272
2019-01-04,p1012581,1,1000
2019-01-04,p1072601,1,4600
2019-01-04,p1207281,1,2600
2019-01-04,p1005771,1,1850
2019-01-04,p1005891,1,1950
2019-01-04,p1005771,1,1850
2019-01-04,p1089531,2,5200
2019-01-04,p1175481,3,3900
2019-01-04,p1005891,4,7800
2019-01-04,p1012581,7,7000
2019-01-04,p1012811,3,7500
2019-01-04,p1005891,1,1950
2019-01-04,p1246581,1,1136
2019-01-04,p1072601,1,4600
2019-01-04,p1194801,1,8200
2019-01-04,p1005621,1,2900
2019-01-04,p1005891,2,3900
2019-01-04,p1194801,1,8200
2019-01-04,p1052661,1,1455
2019-01-04,p1005771,1,1850
2019-01-04,p1012811,1,2500
2019-01-04,p1005771,1,1850
2019-01-04,p1012751,1,1350
2019-01-04,p1005771,1,1850
2019-01-04,p1089531,1,2600
2019-01-04,p1175481,1,1300
2019-01-04,p1175481,1,1300
2019-01-04,p1178011,1,8800
2019-01-04,p1194801,1,8200
2019-01-04,p1162631,1,4600
2019-01-04,p1001771,1,3150
2019-01-04,p1194801,1,8200
2019-01-04,p1175481,1,1300
2019-01-04,p1012811,1,2500
2019-01-04,p1005771,1,1850
2019-01-04,p1162631,1,4600
2019-01-04,p1100371,5,2000
2019-01-04,p1178011,1,8800
2019-01-04,p1030071,2,7900
2019-01-04,p1005771,3,5550
2019-01-04,p1175481,1,1300
2019-01-04,p1089531,1,2600
2019-01-04,p1178011,2,17600
2019-01-04,p1194801,2,16400
2019-01-04,p1005771,1,1850
2019-01-04,p1012751,1,1350
2019-01-04,p1011291,2,546
2019-01-04,p1012751,1,1350
2019-01-04,p1089531,1,2600
2019-01-04,p1072601,1,4600
2019-01-04,p1178011,1,8800
2019-01-04,p1097591,2,1200
2019-01-04,p1005771,1,1850
2019-01-04,p1012761,1,1700
2019-01-04,p1012751,1,1350
2019-01-04,p1005771,1,1850
2019-01-04,p1133371,2,2000
2019-01-04,p1149401,1,909
