OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
47,2,2016-06-28,p1005891,1,1950,c365400
48,1,2016-06-28,p1246581,1,1136,c091211
49,1,2016-06-28,p1012881,1,1600,c118028
50,1,2016-06-28,p1012581,1,1050,c121344
51,1,2016-06-28,p1207951,1,2800,c150417
51,2,2016-06-28,p1284851,1,2750,c150417
51,3,2016-06-28,p1144371,1,1250,c150417
52,1,2016-06-28,p1026741,1,3227,c273755
52,2,2016-06-28,p1030071,2,4900,c273755
52,3,2016-06-28,p1072601,1,3680,c273755
52,4,2016-06-28,p1097821,1,1000,c273755
52,5,2016-06-28,p1097831,1,1455,c273755
52,6,2016-06-28,p1235451,1,1227,c273755
52,7,2016-06-28,p1175481,1,1300,c273755
53,1,2016-06-28,p1233511,1,2050,c316488
53,2,2016-06-28,p1231011,1,909,c316488
53,3,2016-06-28,p1152861,1,1091,c316488
54,1,2016-06-28,p1159481,1,1650,c328823
55,1,2016-06-28,p1152861,1,1091,c333911
56,1,2016-06-28,p1200641,1,5200,c363992
56,2,2016-06-28,p1012751,1,1250,c363992
56,3,2016-06-28,p1005891,1,1950,c363992
57,1,2016-06-28,p1119071,1,1091,c062610
58,1,2016-06-28,p1005891,1,1950,c094724
58,2,2016-06-28,p1005771,1,1850,c094724
59,1,2016-06-28,p1005891,1,1950,c203789
59,2,2016-06-28,p1013161,1,2950,c203789
59,3,2016-06-28,p1030071,1,2450,c203789
59,4,2016-06-28,p1175481,1,1300,c203789
60,1,2016-06-28,p1284851,1,2750,c294987
60,2,2016-06-28,p1246581,4,4544,c294987
61,1,2016-06-28,p1284851,1,2750,c296998
61,2,2016-06-28,p1012641,1,1100,c296998
61,3,2016-06-28,p1072601,1,3220,c296998
62,1,2016-06-28,p1072601,1,4600,c330165
63,1,2016-06-28,p1284851,1,2750,c371075
63,2,2016-06-28,p1012751,1,1250,c371075
64,1,2016-06-28,p1012581,1,1050,c040668
64,2,2016-06-28,p1012751,1,1250,c040668
65,1,2016-06-28,p1152861,2,2182,c170207
66,1,2016-06-28,p1246581,2,2272,c187241
67,1,2016-06-28,p1284851,1,2750,c225989
68,1,2016-06-28,p1119071,1,1091,c265814
68,2,2016-06-28,p1152861,1,1091,c265814
69,1,2016-06-28,p1152861,1,1091,c291927
70,1,2016-06-28,p1013161,1,2950,c331217
70,2,2016-06-28,p1284851,2,5500,c331217
70,3,2016-06-28,p1162631,1,4600,c331217
1,1,2016-06-29,p1001771,1,3600,c017629
2,1,2016-06-29,p1175481,2,2600,c049626
2,2,2016-06-29,p1005771,1,1850,c049626
3,1,2016-06-29,p1139681,1,909,c057780
4,1,2016-06-29,p1200641,1,5200,c107468
5,1,2016-06-29,p1012581,1,1050,c115266
6,1,2016-06-29,p1246581,2,2272,c140627
6,2,2016-06-29,p1284851,1,2750,c140627
6,3,2016-06-29,p1001771,1,3600,c140627
6,4,2016-06-29,p1144371,1,1250,c140627
7,1,2016-06-29,p1284851,1,2475,c292114
8,1,2016-06-29,p1149391,4,3636,c352730
9,1,2016-06-29,p1012581,2,2100,c360455
9,2,2016-06-29,p1012751,1,1250,c360455
9,3,2016-06-29,p1097821,1,1000,c360455
9,4,2016-06-29,p1133371,2,2000,c360455
9,5,2016-06-29,p1207951,1,2800,c360455
10,1,2016-06-29,p1100371,2,800,c037915
11,1,2016-06-29,p1005621,1,2900,c054365
11,2,2016-06-29,p1012581,1,1050,c054365
12,1,2016-06-29,p1005771,2,3700,c060045
12,2,2016-06-29,p1231011,9,8181,c060045
12,3,2016-06-29,p1234751,3,2454,c060045
13,1,2016-06-29,p1005771,1,1850,c118110
13,2,2016-06-29,p1012761,1,1900,c118110
14,1,2016-06-29,p1234751,1,818,c189316
15,1,2016-06-29,p1211951,1,1700,c362893
16,1,2016-06-29,p1001771,1,3600,c368205
16,2,2016-06-29,p1191881,1,1750,c368205
17,1,2016-06-29,p1097821,2,2000,c078968
17,2,2016-06-29,p1246581,2,2272,c078968
18,1,2016-06-29,p1159481,1,1650,c088320
19,1,2016-06-29,p1233511,1,2050,c104135
19,2,2016-06-29,p1144371,1,1250,c104135
20,1,2016-06-29,p1072601,1,4600,c123918
20,2,2016-06-29,p1246581,1,1136,c123918
21,1,2016-06-29,p1234751,1,818,c146132
21,2,2016-06-29,p1005891,1,1950,c146132
21,3,2016-06-29,p1052661,1,1455,c146132
21,4,2016-06-29,p1097821,1,1000,c146132
22,1,2016-06-29,p1100371,2,800,c221180
22,2,2016-06-29,p1231011,1,909,c221180
23,1,2016-06-29,p1231011,2,1818,c221444
23,2,2016-06-29,p1149411,1,1000,c221444
23,3,2016-06-29,p1152861,1,1091,c221444
24,1,2016-06-29,p1052661,1,1455,c307070
