Date,Open,High,Low,Close,Adj Close,Volume
2016-06-23,6160,6180,6090,6120,5777.096191,539663
2016-06-24,6150,6200,5760,5850,5522.224121,2186047
2016-06-27,5670,5850,5670,5830,5503.344727,824347
2016-06-28,5770,5900,5730,5820,5493.904785,780491
2016-06-29,5880,5940,5820,5870,5541.103516,635228
2016-06-30,5930,5940,5850,5940,5607.181641,746742
2016-07-01,5980,5990,5910,5930,5597.741699,768051
2016-07-04,5940,6040,5920,5990,5654.379883,646162
2016-07-05,5990,6010,5910,5960,5626.060547,532899
2016-07-06,5930,5950,5790,5830,5503.344727,864901
2016-07-07,5860,5950,5860,5910,5578.862305,504659
2016-07-08,5900,5940,5810,5880,5550.543457,447704
2016-07-11,5930,5940,5880,5940,5607.181641,510824
2016-07-12,5960,6070,5960,6060,5720.458008,748538
2016-07-13,6100,6140,6060,6080,5739.337402,650773
2016-07-14,6120,6160,6070,6120,5777.096191,489981
2016-07-15,6170,6220,6120,6170,5824.294434,741564
2016-07-18,6160,6230,6130,6200,5852.61377,595932
2016-07-19,6250,6260,6140,6190,5843.174316,446851
2016-07-20,6200,6250,6160,6230,5880.932617,601940
2016-07-21,6260,6280,6190,6250,5899.8125,468575
2016-07-22,6250,6250,6160,6160,5814.85498,548017
2016-07-25,6190,6300,6180,6290,5937.571289,654310
2016-07-26,6290,6300,6230,6260,5909.251953,626646
2016-07-27,6230,6300,6230,6230,5880.932617,464435
2016-07-28,6250,6340,6240,6290,5937.571289,574836
2016-07-29,6270,6360,6160,6210,5862.053711,1020999
2016-08-01,6260,6260,6110,6120,5777.096191,789531
2016-08-02,6120,6170,6060,6080,5739.337402,590748
2016-08-03,6080,6110,6000,6060,5720.458008,570978
2016-08-04,6040,6110,6040,6110,5767.656738,594283
2016-08-05,6110,6180,6110,6140,5795.975586,481986
2016-08-08,6210,6230,6070,6100,5758.216797,612316
2016-08-09,6130,6280,6120,6250,5899.8125,755743
2016-08-10,6290,6340,6210,6330,5975.330078,1026829
2016-08-11,6310,6380,6290,6350,5994.209473,602476
2016-08-12,6410,6410,6280,6320,5965.890137,490904
2016-08-16,6320,6360,6260,6300,5947.010742,469470
2016-08-17,6300,6330,6270,6330,5975.330078,456154
2016-08-18,6340,6350,6280,6280,5928.131348,384864
2016-08-19,6290,6320,6220,6240,5890.372559,487173
2016-08-22,6230,6240,6090,6150,5805.415527,457430
2016-08-23,6140,6170,6120,6130,5786.535645,299295
2016-08-24,6120,6190,6120,6150,5805.415527,354366
2016-08-25,6140,6240,6140,6210,5862.053711,399492
2016-08-26,6180,6250,6160,6180,5833.734375,338624
2016-08-29,6190,6240,6100,6120,5777.096191,552898
